"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 10:50:03 IDT 2024","Sun Jul 14 10:50:18 IDT 2024","15656","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | intro",""
"failed","Sun Jul 14 10:37:43 IDT 2024","Sun Jul 14 10:37:57 IDT 2024","14559","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | magiksolo",""
"failed","Sun Jul 14 11:04:56 IDT 2024","Sun Jul 14 11:05:16 IDT 2024","19449","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | weddings",""
"passed","Sun Jul 14 10:24:18 IDT 2024","Sun Jul 14 10:24:34 IDT 2024","15196","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | indigenous",""
"passed","Sun Jul 14 10:12:04 IDT 2024","Sun Jul 14 10:12:17 IDT 2024","12845","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | saxophone solo",""
"failed","Sun Jul 14 11:16:29 IDT 2024","Sun Jul 14 11:16:45 IDT 2024","16705","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | acoustic guitar",""
"failed","Sun Jul 14 11:08:57 IDT 2024","Sun Jul 14 11:09:10 IDT 2024","12544","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | war",""
"failed","Sun Jul 14 10:58:41 IDT 2024","Sun Jul 14 10:58:52 IDT 2024","10731","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | dance",""
"failed","Sun Jul 14 11:17:59 IDT 2024","Sun Jul 14 11:18:11 IDT 2024","12102","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | celebration",""
"failed","Sun Jul 14 10:32:45 IDT 2024","Sun Jul 14 10:33:01 IDT 2024","16017","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | elevator",""
